date,price
1993-04-01,1.07425
1993-05-01,1.0922
1993-06-01,1.0915
1993-07-01,1.08175
1993-08-01,1.066
1993-09-01,1.0515
1993-10-01,1.0795
1993-11-01,1.0534000000000001
1993-12-01,1.0095
1994-01-01,0.9837999999999999
1994-02-01,0.986
1994-03-01,0.9824999999999999
1994-04-01,1.01125
1994-05-01,1.0248
1994-06-01,1.051
1994-07-01,1.076
1994-08-01,1.1244
1994-09-01,1.12425
1994-10-01,1.1012
1994-11-01,1.108
1994-12-01,1.14675
1995-01-01,1.143
1995-02-01,1.1332499999999999
1995-03-01,1.12575
1995-04-01,1.16025
1995-05-01,1.2322000000000002
1995-06-01,1.24775
1995-07-01,1.2136
1995-08-01,1.17075
1995-09-01,1.14775
1995-10-01,1.1224
1995-11-01,1.0947500000000001
1995-12-01,1.10025
1996-01-01,1.1242
1996-02-01,1.1235
1996-03-01,1.172
1996-04-01,1.2690000000000001
1996-05-01,1.30475
1996-06-01,1.2845
1996-07-01,1.2486000000000002
1996-08-01,1.2272500000000002
1996-09-01,1.223
1996-10-01,1.227
1996-11-01,1.2570000000000001
1996-12-01,1.2676
1997-01-01,1.2625
1997-02-01,1.2615
1997-03-01,1.2394
1997-04-01,1.2257500000000001
1997-05-01,1.213
1997-06-01,1.2118
1997-07-01,1.1935
1997-08-01,1.227
1997-09-01,1.2344000000000002
1997-10-01,1.20925
1997-11-01,1.182
1997-12-01,1.1548
1998-01-01,1.12325
1998-02-01,1.08375
1998-03-01,1.0535999999999999
1998-04-01,1.05725
1998-05-01,1.05225
1998-06-01,1.0416
1998-07-01,1.0335
1998-08-01,1.012
1998-09-01,0.9904999999999999
1998-10-01,1.00975
1998-11-01,0.9885999999999999
1998-12-01,0.948
1999-01-01,0.94075
1999-02-01,0.9317500000000001
1999-03-01,0.9655999999999999
1999-04-01,1.0825
1999-05-01,1.099
1999-06-01,1.09525
1999-07-01,1.12875
1999-08-01,1.189
1999-09-01,1.23225
1999-10-01,1.2475
1999-11-01,1.247
1999-12-01,1.2727499999999998
2000-01-01,1.2803999999999998
2000-02-01,1.36225
2000-03-01,1.5095
2000-04-01,1.4665
2000-05-01,1.4692
2000-06-01,1.5394999999999999
2000-07-01,1.5504
2000-08-01,1.466
2000-09-01,1.49875
2000-10-01,1.4808
2000-11-01,1.463
2000-12-01,1.40275
2001-01-01,1.417
2001-02-01,1.436
2001-03-01,1.3865
2001-04-01,1.522
2001-05-01,1.622
2001-06-01,1.55075
2001-07-01,1.3519999999999999
2001-08-01,1.338
2001-09-01,1.42425
2001-10-01,1.2746
2001-11-01,1.1255
2001-12-01,1.0622
2002-01-01,1.095
2002-02-01,1.094
2002-03-01,1.22525
